State,Utility Name,Utility Type,Service Type,Year,Month,Total Disconnections,Total Reconnections,Total Connections,Disconnection Rate
California,City and County of San Francisco,Municipal Utility,Electric,2017,May,,,69036,
California,City and County of San Francisco,Municipal Utility,Electric,2017,June,,,68837,
California,City and County of San Francisco,Municipal Utility,Electric,2017,July,,,69466,
California,City and County of San Francisco,Municipal Utility,Electric,2017,August,,,69385,
California,City and County of San Francisco,Municipal Utility,Electric,2017,September,,,69527,
California,City and County of San Francisco,Municipal Utility,Electric,2017,October,2,2,72934,2.74E-05
California,City and County of San Francisco,Municipal Utility,Electric,2017,November,0,0,72682,0
California,City and County of San Francisco,Municipal Utility,Electric,2017,December,0,0,72105,0
California,City and County of San Francisco,Municipal Utility,Electric,2018,January,11,11,73605,0.000149446
California,City and County of San Francisco,Municipal Utility,Electric,2018,February,6,6,73679,8.14E-05
California,City and County of San Francisco,Municipal Utility,Electric,2018,March,0,0,73814,0
California,City and County of San Francisco,Municipal Utility,Electric,2018,April,13,12,74147,0.000175327
California,City and County of San Francisco,Municipal Utility,Electric,2018,May,3,3,74154,4.05E-05
California,City and County of San Francisco,Municipal Utility,Electric,2018,June,0,0,74159,0
California,City and County of San Francisco,Municipal Utility,Electric,2018,July,6,6,75622,7.93E-05
California,City and County of San Francisco,Municipal Utility,Electric,2018,August,0,0,75795,0
California,City and County of San Francisco,Municipal Utility,Electric,2018,September,11,11,75832,0.000145057
California,City and County of San Francisco,Municipal Utility,Electric,2018,October,31,30,77558,0.000399701
California,City and County of San Francisco,Municipal Utility,Electric,2018,November,1,1,77614,1.29E-05
California,City and County of San Francisco,Municipal Utility,Electric,2018,December,0,1,77670,0
California,City and County of San Francisco,Municipal Utility,Electric,2019,January,2,2,79488,2.52E-05
California,City and County of San Francisco,Municipal Utility,Electric,2019,February,2,2,79689,2.51E-05
California,City and County of San Francisco,Municipal Utility,Electric,2019,March,3,3,79989,3.75E-05
California,City and County of San Francisco,Municipal Utility,Electric,2019,April,1,1,344949,2.90E-06
California,City and County of San Francisco,Municipal Utility,Electric,2019,May,3,3,344909,8.70E-06
California,City and County of San Francisco,Municipal Utility,Electric,2019,June,0,0,345182,0
California,City and County of San Francisco,Municipal Utility,Electric,2019,July,2,2,347146,5.76E-06
California,City and County of San Francisco,Municipal Utility,Electric,2019,August,1,1,346791,2.88E-06
California,City and County of San Francisco,Municipal Utility,Electric,2019,September,3,3,346743,8.65E-06
California,City and County of San Francisco,Municipal Utility,Electric,2019,October,0,0,346716,0
California,City and County of San Francisco,Municipal Utility,Electric,2019,November,1,1,346939,2.88E-06
California,City and County of San Francisco,Municipal Utility,Electric,2019,December,1,1,347435,2.88E-06
California,City and County of San Francisco,Municipal Utility,Electric,2020,January,0,0,347415,0
California,City and County of San Francisco,Municipal Utility,Electric,2020,February,2,2,348168,5.74E-06
California,City and County of San Francisco,Municipal Utility,Electric,2020,March,0,0,348026,0
California,City and County of San Francisco,Municipal Utility,Electric,2020,April,0,0,347574,0
California,City and County of San Francisco,Municipal Utility,Electric,2020,May,0,0,352024,0
California,City and County of San Francisco,Municipal Utility,Electric,2020,June,0,0,351106,0
California,City and County of San Francisco,Municipal Utility,Electric,2020,July,0,0,349841,0
California,City and County of San Francisco,Municipal Utility,Electric,2020,August,0,0,348403,0
California,City and County of San Francisco,Municipal Utility,Electric,2020,September,0,0,347283,0
California,City and County of San Francisco,Municipal Utility,Electric,2020,October,0,0,346925,0
California,City and County of San Francisco,Municipal Utility,Electric,2020,November,0,0,347380,0
California,City and County of San Francisco,Municipal Utility,Electric,2020,December,0,0,347959,0
California,City and County of San Francisco,Municipal Utility,Electric,2021,January,0,0,349126,0
California,City and County of San Francisco,Municipal Utility,Electric,2021,February,0,0,350358,0
