State,Month,Year,Total Disconnections,Total Connections,Disconnection Rate
North Dakota,May,2021,850.0,400000.0,0.0085
North Dakota,November,2020,322.0,400000.0,0.0032199999999999998
North Dakota,November,2021,490.0,400000.0,0.0049
North Dakota,October,2020,1193.0,400000.0,0.01193
North Dakota,October,2021,852.0,400000.0,0.00852
North Dakota,September,2020,350.0,400000.0,0.0034999999999999996
North Dakota,September,2021,1083.0,400000.0,0.01083
Ohio,April,2015,53434.0,8900008.0,12.264755213203534
Ohio,April,2016,48434.0,8927041.0,9.91281945530305
Ohio,April,2017,36892.0,7130337.0,9.183728266865746
Ohio,April,2018,39614.0,7138345.0,7.6748793501626675
Ohio,April,2019,39647.0,7173679.0,10.291060218577435
Ohio,April,2020,4.0,7249216.0,0.00047982796111849994
Ohio,April,2021,57624.0,8612828.0,6.8288957057212905
Ohio,April,2022,45319.0,9222282.0,11.350464845309862
Ohio,August,2014,59259.0,8794375.0,9.088831833883903
