,State,Month,Year,Number of Disconnections,Total Connections,Disconnection Rate,code
562,New York,June,2021,0,19453561,0,NY
563,North Carolina,June,2021,4864,10488084,0.0005,NC
564,North Dakota,June,2021,1041,762062,0.0014,ND
565,Ohio,June,2021,0,11689100,0,OH
566,Oregon,June,2021,0,4217737,0,OR
567,Pennsylvania,June,2021,33403,12801989,0.0026,PA
568,Rhode Island,June,2021,0,1059361,0,RI
569,South Carolina,June,2021,3158,5148714,0.0006,SC
570,South Dakota,June,2021,818,884659,0.0009,SD
571,Utah,June,2021,188,3205958,0.0001,UT
572,Vermont,June,2021,2,623989,0,VT
573,Washington,June,2021,0,7614893,0,WA
574,Washington D.C.,June,2021,0,705749,0,WA
575,Wisconsin,June,2021,17218,5822434,0.003,WI
576,Arizona,July,2021,0,4903185,0,AZ
